Nom du Jeu,Genre,Plateforme,Date de Sortie,Prix,Description,Rating,Tags,Mode de Jeu,stock,Nouvelle_Colonne
Halo: Combat Evolved,FPS,Xbox,2001-11-15 00:00:00,9.99,Un FPS futuriste avec le Master Chief.,9.0,"FPS, Action, Science-fiction","Solo, Multijoueur",6,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwiki.halo.fr%2FHalo_%3A_Combat_Evolved&psig=AOvVaw2vVt53GC3yzdq31OO3r2O0&ust=1732547321732000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCICMjvCf9YkDFQAAAAAdAAAAABAE
Kingdom Hearts,Action-RPG,PlayStation 2,2002-03-28 00:00:00,9.99,Un RPG d'action avec des personnages Disney et Final Fantasy.,2024-07-08 00:00:00,"RPG, Action, Aventure",Solo,9,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.playstation.com%2Ffr-fr%2Fgames%2Fkingdom-hearts-iii%2F&psig=AOvVaw1zWkmfvT-JI_Sq4uUfi5AB&ust=1732547296147000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCNiGyeOf9YkDFQAAAAAdAAAAABAE
The Elder Scrolls III: Morrowind,RPG,"PC, Xbox",2002-05-01 00:00:00,9.99,Un RPG avec un monde ouvert immense.,2024-01-09 00:00:00,"RPG, Aventure, Fantasy",Solo,10,https://www.google.com/url?sa=i&url=https%3A%2F%2Felderscrolls.fandom.com%2Ffr%2Fwiki%2FThe_Elder_Scrolls_III%3A_Morrowind&psig=AOvVaw1br7Wd_vqD_BQKu2N8hDZs&ust=1732547270639000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCMiI_9af9YkDFQAAAAAdAAAAABAR
Call of Duty,FPS,Multi,2003-10-29 00:00:00,9.99,Un FPS militaire réaliste.,9.0,"FPS, Action, Militaire","Solo, Multijoueur",8,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.playstation.com%2Ffr-lu%2Fcall-of-duty%2F&psig=AOvVaw0_120h3mquyrJACfm508zq&ust=1732547238368000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCIisssmf9YkDFQAAAAAdAAAAABAE
World of Warcraft,MMORPG,PC,2004-11-23 00:00:00,9.99,Un MMORPG massif avec un monde fantastique.,2024-09-08 00:00:00,"RPG, Multijoueur, Fantasy",Multijoueur,5,https://www.google.com/url?sa=i&url=https%3A%2F%2Ffr.ign.com%2Fworld-of-warcraft%2F1643%2Fnews%2Fvers-une-edition-veteran-gratuite-de-world-of-warcraft&psig=AOvVaw3AAa3zRDCuGe7iG3OD1O5O&ust=1732547212365000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCMiknbyf9YkDFQAAAAAdAAAAABAE
Guitar Hero,Musique,PlayStation 2,2005-11-08 00:00:00,9.99,Un jeu de rythme avec une guitare.,9.0,"Musique, Rythme, Simulation",Solo,4,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.amazon.fr%2FGuitar-Hero-III-Legends-anglais%2Fdp%2FB001RB25MW&psig=AOvVaw1NnsTkns6PlO620OTmhPVF&ust=1732547190715000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCNiY37Cf9YkDFQAAAAAdAAAAABAE
The Elder Scrolls IV: Oblivion,RPG,Multi,2006-03-20 00:00:00,9.99,Un RPG avec un monde ouvert et des quêtes immersives.,2024-04-09 00:00:00,"RPG, Aventure, Fantasy",Solo,10,https://www.google.com/url?sa=i&url=https%3A%2F%2Felderscrolls.fandom.com%2Ffr%2Fwiki%2FThe_Elder_Scrolls_IV%3A_Oblivion&psig=AOvVaw1N1Tvwqt2E5assjlSA7JE-&ust=1732547167155000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCKiC46Wf9YkDFQAAAAAdAAAAABAE
Gears of War,Action,Xbox 360,2006-11-07 00:00:00,9.99,Un jeu d'action avec des combats intenses et une couverture tactique.,2024-01-09 00:00:00,"Action, Aventure, Multijoueur","Solo, Multijoueur",9,https://www.google.com/url?sa=i&url=https%3A%2F%2Fgearsofwar.com%2Ffr-ca%2Fgames%2Fgears-of-war-3&psig=AOvVaw3e9k390PQiNT-7231l77vP&ust=1732547145048000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCKD00Zqf9YkDFQAAAAAdAAAAABAE
Bioshock,FPS,Multi,2007-08-21 00:00:00,9.99,Un FPS avec une histoire immersive et des pouvoirs uniques.,2024-06-09 00:00:00,"FPS, Action, Science-fiction",Solo,3,https://www.google.com/url?sa=i&url=https%3A%2F%2Fstore.epicgames.com%2Ffr%2Fp%2Fbioshock-remastered&psig=AOvVaw2-70FOGu4pWvhkYi55S9gy&ust=1732547123551000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCIDV75Cf9YkDFQAAAAAdAAAAABAE
Call of Duty 4: Modern Warfare,FPS,Multi,2007-11-05 00:00:00,9.99,Un FPS militaire moderne avec des combats intenses.,2024-04-09 00:00:00,"FPS, Action, Militaire","Solo, Multijoueur",10,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.eneba.com%2Ffr%2Fsteam-call-of-duty-4-modern-warfare-mac-os-steam-key-global&psig=AOvVaw0LCyFEZSmnwxmk7_MClh_Q&ust=1732547098084000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCLC97ISf9YkDFQAAAAAdAAAAABAE
Assassin's Creed,Action-Aventure,Multi,2007-11-13 00:00:00,9.99,Un jeu d'action furtif dans des environnements historiques.,2024-01-08 00:00:00,"Action, Aventure, Historique",Solo,4,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.ubisoft.com%2Ffr-fr%2Fgame%2Fassassins-creed%2Fthe-ezio-collection&psig=AOvVaw08ZpiFkOAeTtdNNV2mnYB0&ust=1732547068577000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCIjGz_ee9YkDFQAAAAAdAAAAABAJ
Fallout 3,RPG,Multi,2008-10-28 00:00:00,9.99,Un RPG post-apocalyptique avec un monde ouvert.,2024-01-09 00:00:00,"RPG, Aventure, Monde ouvert",Solo,6,https://www.google.com/url?sa=i&url=https%3A%2F%2Fstore.epicgames.com%2Ffr%2Fp%2Ffallout-3-game-of-the-year-edition&psig=AOvVaw1SdfmpQR_PVaV4Zeb_6gAt&ust=1732547038513000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCPCn4uee9YkDFQAAAAAdAAAAABAE
Left 4 Dead,FPS,Multi,2008-11-18 00:00:00,9.99,Un FPS coopératif de survie contre des zombies.,2024-09-08 00:00:00,"FPS, Horreur, Survie",Multijoueur,6,https://www.google.com/url?sa=i&url=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FLeft_4_Dead&psig=AOvVaw1LFOzk1yqE4AnJ1gtLjNBW&ust=1732547012813000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCPjv-9ue9YkDFQAAAAAdAAAAABAE
The Witcher 2: Assassins of Kings,RPG,PC,2011-05-17 00:00:00,9.99,Un RPG avec des choix impactants et une histoire captivante.,2024-08-08 00:00:00,"RPG, Action, Fantasy",Solo,10,https://www.google.com/url?sa=i&url=https%3A%2F%2Falloparadise.fr%2Fpc%2Fthe-witcher-2-assassin-of-kings&psig=AOvVaw3o5Vmeu6u-FNoC_5i9MbRI&ust=1732546983814000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCOCf7M6e9YkDFQAAAAAdAAAAABAE
The Legend of Zelda: Skyward Sword,Action-Aventure,Wii,2011-11-18 00:00:00,9.99,Une aventure épique avec Link et des contrôles de mouvement.,2024-03-09 00:00:00,"Action, Aventure, Fantasy",Solo,7,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.etsy.com%2Ffr%2Flisting%2F203299624%2Flegend-of-zelda-skyward-sword-plusieurs&psig=AOvVaw2tDPrFJE6Xt9NEMRTZD6BK&ust=1732546947163000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCJDvrL2e9YkDFQAAAAAdAAAAABAE
Far Cry 3,FPS,Multi,2012-11-29 00:00:00,9.99,Un FPS dans un monde ouvert tropical.,2024-08-08 00:00:00,"FPS, Action, Monde ouvert",Solo,6,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.codesproduit.fr%2Fproduit%2Ffar-cry-3-deluxe-edition-uplay-cd-key%2F&psig=AOvVaw0ldUPr0xSIYhqFqzR41nNK&ust=1732546918039000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCNDMpq6e9YkDFQAAAAAdAAAAABAE
BioShock Infinite,FPS,Multi,2013-03-26 00:00:00,9.99,Un FPS dans une ville flottante avec des pouvoirs uniques.,2024-04-09 00:00:00,"FPS, Action, Science-fiction",Solo,2,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.amazon.fr%2FT2-TAKE-TWO-BioShock-Infinite%2Fdp%2FB004Z6A83O&psig=AOvVaw0txKL9ulrLfM3FwckTtaXn&ust=1732546876883000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCMiMlJue9YkDFQAAAAAdAAAAABAE
Assassin's Creed IV: Black Flag,Action-Aventure,Multi,2013-10-29 00:00:00,9.99,Une aventure de pirates avec Edward Kenway.,2024-04-08 00:00:00,"Action, Aventure, Historique",Solo,10,https://www.google.com/url?sa=i&url=https%3A%2F%2Fstore.playstation.com%2Ffr-fr%2Fproduct%2FEP0001-CUSA00009_00-B000000000000742&psig=AOvVaw3dXOVntWjomMLSwuoeMH71&ust=1732546849297000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCPjEo46e9YkDFQAAAAAdAAAAABAE
Dark Souls II,Action-RPG,Multi,2014-03-25 00:00:00,9.99,Un RPG d'action difficile et sombre.,9.0,"Action, RPG, Fantasy","Solo, Multijoueur",7,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.instant-gaming.com%2Ffr%2F697-acheter-dark-souls-ii-scholar-of-the-first-sin-pc-jeu-steam%2F&psig=AOvVaw3gtiLtQDjElwaOKqgD_199&ust=1732546676816000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCOjeqOWd9YkDFQAAAAAdAAAAABAE
